id,name,now_cost,position,team,mng_clean_sheets,mng_goals_scored,now_cost_rank_type,expected_goals,threat_rank,dreamteam_count,news,influence_rank,assists,transfers_out_event,red_cards,expected_goals_conceded_per_90,bonus,birth_date,penalties_missed,news_added,ict_index_rank,threat_rank_type,minutes,starts,own_goals,web_name,form_rank_type,transfers_out,saves,cost_change_event_fall,selected_rank,in_dreamteam,corners_and_indirect_freekicks_order,selected_rank_type,can_select,value_form,form,region,creativity,points_per_game_rank,penalties_saved,bps,team_join_date,mng_draw,goals_scored,influence_rank_type,ict_index,threat,goals_conceded,form_rank,cost_change_event,transfers_in_event,expected_goals_conceded,points_per_game,goals_conceded_per_90,cost_change_start,mng_win,yellow_cards,direct_freekicks_order,cost_change_start_fall,ep_this,opta_code,expected_goal_involvements_per_90,status,value_season,starts_per_90,clean_sheets_per_90,selected_by_percent,expected_goal_involvements,expected_goals_per_90,chance_of_playing_next_round,penalties_order,transfers_in,creativity_rank_type,points_per_game_rank_type,clean_sheets,mng_underdog_win,now_cost_rank,event_points,influence,expected_assists,mng_underdog_draw,mng_loss,total_points,saves_per_90,expected_assists_per_90,ict_index_rank_type,chance_of_playing_this_round,ep_next,creativity_rank
21,Kieran Tierney,43,DEF,Arsenal,0,0,121,0.21,401,0,,471,0,50,0,1.37,0,1997-06-05,0,2024-08-12T14:30:04.394338Z,439,142,76,0,0,Tierney,88,7310,0,0,557,False,,193,True,0.2,0.8,243.0,37.6,453,0,20,2019-08-08,0,0,170,6.5,11.0,0,288,0,57,1.16,1.0,0.0,-2,0,0,,2,1.3,p192895,0.58,a,1.2,0.0,0.0,0.0,0.49,0.25,100.0,,4937,112,162,0,0,573,1,15.6,0.28,0,0,5,0.0,0.33,151,100.0,0.8,345
22,Tomiyasu Takehiro,48,DEF,Arsenal,0,0,36,0.18,408,0,Knee injury - Expected back 01 Jun,524,0,14,0,0.6,0,1998-11-05,0,2024-10-18T16:00:06.930143Z,508,145,6,0,0,Tomiyasu,253,7898,0,0,599,False,,206,True,0.0,0.0,108.0,0.3,486,0,2,2021-08-31,0,0,186,1.0,9.0,0,696,0,16,0.04,1.0,0.0,-2,0,0,,2,0.0,p223723,2.7,i,0.2,0.0,0.0,0.0,0.18,2.7,0.0,,1800,183,169,0,0,306,0,0.4,0.00,0,0,1,0.0,0.0,179,0.0,0.0,497
23,Leandro Trossard,68,MID,Arsenal,0,0,15,4.45,40,1,,126,6,4021,1,0.78,10,1994-12-04,0,2024-11-21T08:30:08.540890Z,45,24,1809,20,0,Trossard,48,721546,0,0,106,False,4.0,34,True,0.4,3.0,21.0,496.1,92,0,373,2023-01-20,0,4,46,142.7,528.0,18,123,0,6976,15.77,3.5,0.9,-2,0,2,,2,3.5,p116216,0.37,a,14.3,1.0,0.4,3.1,7.49,0.22,100.0,4.0,797864,39,44,8,0,32,1,405.2,3.04,0,0,97,0.0,0.15,31,100.0,3.0,47
24,Benjamin White,61,DEF,Arsenal,0,0,5,0.19,332,0,,320,1,343,0,1.28,0,1997-10-08,0,2024-11-14T13:00:07.861117Z,347,111,703,7,0,White,116,988100,0,0,135,False,,49,True,0.1,0.5,241.0,57.3,189,0,117,2021-07-30,0,0,118,22.5,35.0,7,352,0,534,9.97,2.6,0.9,-4,0,2,,4,1.0,p198869,0.06,a,4.8,0.9,0.38,2.1,0.52,0.02,100.0,,151880,94,56,3,0,72,0,133.4,0.33,0,0,29,0.0,0.04,114,100.0,0.5,313
25,Oleksandr Zinchenko,48,DEF,Arsenal,0,0,34,0.16,317,0,,443,0,163,0,0.64,0,1996-12-15,0,2024-12-09T09:30:06.099861Z,414,103,292,2,0,Zinchenko,112,313695,0,0,221,False,,83,True,0.1,0.5,225.0,33.3,298,0,72,2022-07-22,0,0,159,9.7,39.0,0,340,0,113,2.07,1.9,0.0,-2,0,1,,2,1.0,p206325,0.09,a,4.0,0.62,0.62,0.9,0.28,0.05,100.0,,93679,122,99,2,0,303,0,25.2,0.12,0,0,19,0.0,0.04,141,100.0,0.5,361
73,Norberto Murara Neto,41,GKP,Arsenal,0,0,40,0.00,591,0,,381,0,228,0,1.46,0,1989-07-19,0,2024-10-05T17:30:06.760449Z,431,46,180,2,0,Neto,67,252182,11,0,240,False,,32,True,0.0,0.0,30.0,0.0,87,0,30,2024-08-30,0,0,35,7.8,0.0,2,512,0,114,2.91,3.5,1.0,-4,0,0,,4,0.5,p69752,0.0,a,1.7,1.0,0.0,0.7,0.00,0.0,100.0,,90053,61,12,0,0,621,0,77.8,0.00,0,0,7,5.5,0.0,35,100.0,0.0,624
186,Raheem Sterling,67,MID,Arsenal,0,0,17,1.04,228,0,Ineligible to face his parent club on 16/3. - Expected back 01 Apr,416,1,386,0,0.66,0,1994-12-08,0,2025-03-08T20:00:09.918533Z,351,130,303,4,0,Sterling,123,160815,0,0,227,False,,71,True,0.2,1.2,241.0,81.2,391,0,37,2024-08-30,0,0,187,21.8,99.0,2,253,0,54,2.22,1.4,0.59,-3,0,1,3.0,3,1.7,p103955,0.42,n,2.5,1.19,0.3,0.8,1.41,0.31,0.0,,53128,171,189,1,0,36,0,39.8,0.37,0,0,17,0.0,0.11,176,100.0,0.0,278
578,Riccardo Calafiori,58,DEF,Arsenal,0,0,8,0.86,149,1,,220,1,556,0,0.95,1,2002-05-19,0,2025-01-12T22:00:08.460074Z,220,22,921,11,0,Calafiori,93,402687,0,0,179,False,,69,True,0.1,0.8,106.0,116.1,258,0,133,2024-07-29,0,2,83,53.9,174.0,12,308,0,1702,9.77,2.2,1.17,-2,0,4,,2,1.3,p466075,0.15,a,6.4,1.07,0.1,1.3,1.54,0.08,100.0,,240756,63,83,1,0,91,1,249.6,0.68,0,0,37,0.0,0.07,67,100.0,0.8,238
597,Myles Lewis-Skelly,45,MID,Arsenal,0,0,267,0.04,320,0,,341,0,591,2,0.92,0,2006-09-26,0,2025-02-22T21:00:10.286547Z,348,173,672,8,0,Lewis-Skelly,155,44207,0,0,328,False,,101,True,0.1,0.5,241.0,77.9,365,0,123,2022-12-04,0,1,155,22.3,37.0,7,333,0,654,6.85,1.5,0.94,0,0,2,,0,1.0,p499169,0.05,a,4.2,1.07,0.4,0.3,0.32,0.01,100.0,,68638,172,170,3,0,426,1,111.4,0.28,0,0,19,0.0,0.04,175,100.0,0.5,283
633,Mikel Merino,60,MID,Arsenal,0,0,50,3.59,72,1,,183,1,1597,0,0.88,4,1996-06-22,0,2025-01-27T01:00:09.275216Z,124,48,1050,11,0,Merino,13,54053,0,0,241,False,,77,True,0.8,5.0,200.0,207.6,138,0,219,2024-08-27,0,4,77,83.4,337.0,11,40,0,4937,10.29,3.0,0.94,0,0,2,,0,5.5,p195384,0.39,a,9.8,0.94,0.26,0.7,4.56,0.31,100.0,,121741,106,58,3,0,77,2,290.0,0.97,0,0,59,0.0,0.08,74,100.0,5.0,156
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0,0,266,0.00,684,0,,703,0,10,0,0.0,0,2003-08-20,0,,703,279,0,0,0,Oulad M'hand,235,2072,0,0,676,False,,276,True,0.0,0.0,152.0,0.0,707,0,0,2021-10-25,0,0,285,0.0,0.0,0,626,0,9,0.00,0.0,0.0,0,0,0,,0,0.5,p498046,0.0,a,0.0,0.0,0.0,0.0,0.00,0.0,,,2493,285,286,0,0,425,0,0.0,0.00,0,0,0,0.0,0.0,284,,0.0,699
639,Tommy Setford,45,GKP,Arsenal,0,0,18,0.00,709,0,,726,0,24,0,0.0,0,2006-03-13,0,,726,71,0,0,0,Setford,81,4385,0,0,541,False,,68,True,0.0,0.0,241.0,0.0,729,0,0,2024-07-24,0,0,82,0.0,0.0,0,654,0,5,0.00,0.0,0.0,0,0,0,,0,0.5,p551221,0.0,a,0.0,0.0,0.0,0.1,0.00,0.0,,,4032,78,82,0,0,458,0,0.0,0.00,0,0,0,0.0,0.0,82,,0.0,721
657,Maldini Kacurri,40,DEF,Arsenal,0,0,218,0.00,572,0,Loaned to Bromley,622,0,50,0,0.0,0,,0,2025-02-04T10:52:26.271821Z,622,219,0,0,0,Kacurri,188,9712,0,0,537,False,,187,False,0.0,0.0,2.0,0.0,627,0,0,2024-09-14,0,0,229,0.0,0.0,0,493,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p588793,0.0,u,0.0,0.0,0.0,0.1,0.00,0.0,0.0,,11257,229,227,0,0,705,0,0.0,0.00,0,0,0,0.0,0.0,229,0.0,0.0,607
659,Ismeal Kabia,45,MID,Arsenal,0,0,299,0.00,720,0,,737,0,15,0,0.0,0,2005-12-10,0,,737,305,0,0,0,Kabia,266,2309,0,0,674,False,,275,True,0.0,0.0,152.0,0.0,739,0,0,2024-09-14,0,0,310,0.0,0.0,0,666,0,5,0.00,0.0,0.0,0,0,0,,0,0.5,p588796,0.0,a,0.0,0.0,0.0,0.0,0.00,0.0,,,2844,310,311,0,0,472,0,0.0,0.00,0,0,0,0.0,0.0,309,,0.0,733
662,Josh Nichols,40,DEF,Arsenal,0,0,190,0.00,546,0,,599,0,57,0,0.0,0,2006-07-26,0,,599,197,0,0,0,Nichols,165,4124,0,0,545,False,,191,True,0.0,0.0,241.0,0.0,604,0,0,2024-07-24,0,0,210,0.0,0.0,0,466,0,50,0.00,0.0,0.0,0,0,0,,0,0.5,p499167,0.0,a,0.0,0.0,0.0,0.1,0.00,0.0,,,5597,209,208,0,0,673,0,0.0,0.00,0,0,0,0.0,0.0,210,,0.0,583
665,Nathan Butler-Oyedeji,45,FWD,Arsenal,0,0,66,0.00,665,0,,685,0,272,0,0.0,0,2003-01-04,0,,685,58,0,0,0,Butler-Oyedeji,40,43547,0,0,376,False,,59,True,0.0,0.0,241.0,0.0,689,0,0,2024-09-18,0,0,57,0.0,0.0,0,607,0,129,0.00,0.0,0.0,0,0,0,,0,0.5,p461025,0.0,a,0.0,0.0,0.0,0.2,0.00,0.0,,,56639,57,62,0,0,400,0,0.0,0.00,0,0,0,0.0,0.0,58,,0.0,681
735,Mikel Arteta,15,MNG,Arsenal,3,9,4,0.00,482,0,,547,0,394,0,0.0,0,1982-03-26,0,,547,19,0,0,0,Arteta,14,75324,0,0,403,False,,14,True,3.2,4.8,200.0,0.0,554,0,0,2019-12-22,2,0,19,0.0,0.0,0,43,0,1383,0.00,0.0,0.0,0,3,0,,0,5.3,man51018,0.0,a,26.0,0.0,0.0,2.7,0.00,0.0,,,108830,19,19,0,0,772,4,0.0,0.00,0,1,39,0.0,0.0,19,,4.8,525
756,Jack Porter,40,GKP,Arsenal,0,0,64,0.00,584,0,,633,0,19,0,0.0,0,2008-07-15,0,,633,43,0,0,0,Porter,64,334,0,0,707,False,,74,True,0.0,0.0,241.0,0.0,638,0,0,2024-09-18,0,0,75,0.0,0.0,0,505,0,27,0.00,0.0,0.0,0,0,0,,0,0.5,p616059,0.0,a,0.0,0.0,0.0,0.0,0.00,0.0,,,971,59,75,0,0,718,0,0.0,0.00,0,0,0,0.0,0.0,75,,0.0,618
28,Leon Bailey,62,MID,Aston Villa,0,0,34,1.73,76,0,,307,2,521,0,1.11,2,1997-08-09,0,2025-02-21T15:00:08.865618Z,169,50,1131,14,0,Bailey,167,463040,0,0,232,False,3.0,72,True,0.1,0.4,107.0,234.8,288,0,169,2021-08-04,0,1,139,69.8,323.0,19,357,0,339,13.91,2.0,1.51,-3,0,3,4.0,3,0.4,p215711,0.37,a,7.4,1.11,0.16,0.8,4.65,0.14,100.0,,179629,94,127,2,0,59,1,144.4,2.92,0,0,46,0.0,0.23,97,100.0,0.0,134
29,Ross Barkley,52,MID,Aston Villa,0,0,97,1.68,141,1,Calf injury - 50% chance of playing,252,1,65,0,0.89,5,1993-12-05,0,2025-01-11T01:30:08.379812Z,236,89,544,3,0,Barkley,317,90800,0,0,349,False,,110,True,0.0,0.0,241.0,115.5,202,0,150,2024-07-01,0,3,113,50.3,185.0,9,744,0,6,5.36,2.5,1.49,-3,0,3,,3,0.0,p88894,0.35,d,7.7,0.5,0.17,0.2,2.09,0.28,50.0,,26039,151,84,1,0,161,0,203.4,0.41,0,0,40,0.0,0.07,118,0.0,0.0,240
30,Enzo Barrenechea,49,MID,Aston Villa,0,0,181,0.00,751,0,Loaned to Valencia CF,761,0,2,0,0.0,0,,0,2024-08-31T06:33:47.934620Z,761,323,0,0,0,Barrenechea,298,5314,0,0,665,False,,272,False,0.0,0.0,,0.0,760,0,0,,0,0,324,0.0,0.0,0,715,0,0,0.00,0.0,0.0,-1,0,0,,1,0.0,p491287,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,872,324,324,0,0,281,0,0.0,0.00,0,0,0,0.0,0.0,324,0.0,0.0,758
31,Emiliano Buendía Stati,51,MID,Aston Villa,0,0,108,0.65,383,0,Loaned to Bayer Leverkusen,468,0,19,0,2.3,0,,0,2025-02-03T10:22:17.157838Z,456,205,89,0,0,Buendia,312,16749,0,0,519,False,,190,False,0.0,0.0,10.0,23.2,512,0,37,2021-06-10,0,0,216,5.2,16.0,2,737,0,0,2.27,0.9,2.02,-4,0,1,3.0,4,0.0,p195546,0.69,u,2.2,0.0,0.0,0.1,0.68,0.66,0.0,,6966,212,241,0,0,178,0,16.4,0.03,0,0,11,0.0,0.03,217,0.0,0.0,394
32,Matty Cash,44,DEF,Aston Villa,0,0,92,0.23,214,0,,223,1,1238,0,1.36,1,1997-08-07,0,2025-01-31T15:00:08.473024Z,240,55,1395,16,0,Cash,94,419863,0,0,216,False,,81,True,0.1,0.6,172.0,133.9,244,0,143,2020-09-03,0,1,84,49.3,111.0,18,313,0,227,21.11,2.2,1.16,-1,0,6,,1,0.6,p199796,0.07,a,9.3,1.03,0.13,1.0,1.23,0.01,100.0,,202310,56,78,2,0,505,0,247.8,1.00,0,0,41,0.0,0.06,75,100.0,0.0,219
33,Leander Dendoncker,45,MID,Aston Villa,0,0,236,0.00,648,0,On loan to Anderlecht for the rest of the season,669,0,39,0,0.0,0,,0,2024-09-02T10:45:36.198316Z,669,255,0,0,0,Dendoncker,211,93282,0,0,377,False,,121,False,0.0,0.0,,0.0,673,0,0,,0,0,261,0.0,0.0,0,590,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p151589,0.0,u,0.0,0.0,0.0,0.2,0.00,0.0,0.0,,18187,261,262,0,0,371,0,0.0,0.00,0,0,0,0.0,0.0,260,0.0,0.0,664
34,Moussa Diaby,65,MID,Aston Villa,0,0,23,0.00,786,0,Permanent transfer to Al Ittihad,786,0,1,0,0.0,0,,0,2024-07-26T08:50:40.300928Z,786,340,0,0,0,Diaby,338,3408,0,0,679,False,,279,False,0.0,0.0,,0.0,784,0,0,,0,0,340,0.0,0.0,0,777,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p243557,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,340,340,0,0,44,0,0.0,0.00,0,0,0,0.0,0.0,340,0.0,0.0,786
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,0,0,57,0.64,289,0,loaned to Fenerbahçe,302,0,120,0,1.29,1,,0,2025-01-03T19:30:08.711012Z,352,88,828,8,0,Diego Carlos,242,94159,0,0,317,False,,119,False,0.0,0.0,30.0,9.2,263,0,69,2022-06-10,0,0,112,21.5,54.0,15,591,0,0,11.88,2.1,1.63,0,0,1,,0,0.0,p165659,0.08,u,4.7,0.87,0.22,0.3,0.72,0.07,0.0,,50956,152,85,2,0,372,0,150.6,0.08,0,0,21,0.0,0.01,115,0.0,0.0,444
36,Lucas Digne,45,DEF,Aston Villa,0,0,55,0.80,212,2,,99,5,19535,0,1.39,6,1993-07-20,0,,83,53,2059,25,0,Digne,48,1481304,0,0,54,False,2.0,19,True,0.5,2.4,73.0,533.6,170,0,321,2022-01-13,0,0,38,109.9,112.0,34,161,0,1601,31.76,2.7,1.49,0,0,3,2.0,0,2.4,p101188,0.19,a,16.7,1.09,0.17,6.8,4.36,0.03,,,1942546,7,50,4,0,367,6,454.0,3.56,0,0,75,0.0,0.16,12,,0.0,39
37,Lewis Dobbin,50,MID,Aston Villa,0,0,142,0.00,763,0,Permanent transfer to West Bromwich Albion,769,0,1,0,0.0,0,,0,2024-08-07T08:21:33.016106Z,769,329,0,0,0,Dobbin,308,293,0,0,773,False,,333,False,0.0,0.0,,0.0,768,0,0,,0,0,330,0.0,0.0,0,728,0,0,0.00,0.0,0.0,0,0,0,,0,0.0,p461421,0.0,u,0.0,0.0,0.0,0.0,0.00,0.0,0.0,,0,330,330,0,0,224,0,0.0,0.00,0,0,0,0.0,0.0,330,0.0,0.0,768
38,Jhon Durán,57,FWD,Aston Villa,0,0,25,5.11,74,0,Loaned to Al-Nassr,196,0,1087,1,1.44,9,,0,2025-02-03T10:25:17.104554Z,177,23,622,4,0,Duran,76,1326486,0,0,153,False,,22,False,0.0,0.0,48.0,68.9,187,0,222,2023-01-23,0,7,21,67.5,334.0,14,765,0,0,9.94,2.6,2.03,-3,0,3,,3,0.0,p476344,0.77,u,9.3,0.58,0.29,1.7,5.35,0.74,0.0,,1376643,34,24,2,0,97,0,273.8,0.24,0,0,53,0.0,0.03,25,0.0,0.0,295
